가계지출항목별(2),2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018
가계지출항목별(2),전체가구,전체가구 중위값,근로자가구,근로자가구 중위값,근로자외가구,근로자외가구 중위값,전체가구,전체가구 중위값,근로자가구,근로자가구 중위값,근로자외가구,근로자외가구 중위값
가구원수 (명),2.46,-,2.6,-,2.3,-,2.43,-,2.56,-,2.27,-
가구주연령 (세),51.57,-,46.27,-,57.87,-,51.83,-,46.7,-,58.4,-
가구분포 (%),100,-,100,-,100,-,100,-,100,-,100,-
가계지출 (원),3316143,2765253,3785788,3271484,2758150,2156030,3326764,2796479,3770474,3254766,2758458,2213731
소비지출 (원),2556823,2141691,2844461,2428709,2215077,1731460,2537641,2148513,2805347,2418767,2194763,1752376
소계,360273,310500,359328,317880,361395,300040,366672,317220,363366,320390,370906,313330
곡물 (원),16292,-,13596,-,19495,-,19679,-,17194,-,22862,-
곡물가공품 (원),16289,-,17032,-,15405,-,16916,-,17562,-,16087,-
빵및떡류 (원),22533,-,25182,-,19385,-,23305,-,26257,-,19523,-
육류 (원),54831,-,53898,-,55940,-,55309,-,53172,-,58047,-
육류가공품 (원),11138,-,12980,-,8948,-,11606,-,12428,-,10553,-
신선수산동물 (원),22891,-,18598,-,27991,-,22609,-,18226,-,28223,-
염건수산동물 (원),8103,-,7126,-,9264,-,7603,-,6695,-,8765,-
기타수산동물가공 (원),7847,-,7974,-,7697,-,7369,-,7314,-,7440,-
유제품및알 (원),27427,-,29122,-,25414,-,26384,-,28183,-,24079,-
유지류 (원),3012,-,2748,-,3326,-,2931,-,2684,-,3246,-
과일및과일가공품 (원),44259,-,44376,-,44119,-,45049,-,45458,-,44525,-
채소및채소가공품 (원),40849,-,35870,-,46764,-,39473,-,34636,-,45668,-
해조및해조가공품 (원),4486,-,4260,-,4755,-,4334,-,4051,-,4697,-
당류및과자류 (원),26141,-,30012,-,21541,-,26122,-,29891,-,21294,-
조미식품 (원),14050,-,11825,-,16693,-,15216,-,12463,-,18743,-
기타식품 (원),17968,-,19994,-,15561,-,19950,-,22411,-,16799,-
커피및차 (원),8437,-,8960,-,7816,-,8499,-,8907,-,7977,-
쥬스및기타음료 (원),13720,-,15772,-,11281,-,14318,-,15833,-,12377,-
식사비 (원),341002,-,403506,-,266740,-,336133,-,397121,-,258019,-
